rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,105,甜栗zi,29
2,1316734497,Y-bluezero-戒氪ing,提督,9,甜栗zi,27
3,21763284,Matthew_kk,舰长,51,甜栗zi,27
4,1951359859,盖好被子好家伙,舰长,49,甜栗zi,27
5,3546769308781297,道-_-_,舰长,158,甜栗zi,26
6,448508702,栗子家的DDR,舰长,145,甜栗zi,26
7,7559452,云琅染烟-粑粑大王,舰长,130,甜栗zi,26
8,30560952,账号已注销,舰长,180,甜栗zi,26
9,478530000,大那啥转转转,舰长,112,甜栗zi,25
10,3546892954766152,陆云书,舰长,93,甜栗zi,25
11,12051525,狗莓呐腮,舰长,172,甜栗zi,25
12,620489333,-桃夭酱-,舰长,101,甜栗zi,24
13,3494351216839395,初恋成了丈母娘,舰长,114,甜栗zi,23
14,3546849203981008,细嗦栗子卡的痰,舰长,70,甜栗zi,23
15,435504285,十浦寸,舰长,59,甜栗zi,23
16,488750234,B站的辣个男人,舰长,62,甜栗zi,23
17,108150270,棠棠棠棠堂,舰长,39,甜栗zi,23
18,1952695535,不寻常的小狼狗,舰长,29,甜栗zi,21
19,416010879,小智-独宠鱼儿,舰长,24,甜栗zi,21
20,500044487,耐克爷爷家养的猪,舰长,7,甜栗zi,21
21,44101213,使一颗心兔于破碎,舰长,7,甜栗zi,21
22,3546960587917333,是六出雪,舰长,7,甜栗zi,21
23,3546667567549110,来瓶82年的可乐_,舰长,7,甜栗zi,21
24,1869320930,旧欢如梦绝音,舰长,7,甜栗zi,21
25,1423689037,喜欢喝水开,舰长,7,甜栗zi,21
26,11616614,對對對對對QwQ,舰长,7,甜栗zi,21
27,10880619,苏米星野,舰长,7,甜栗zi,21
