rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,225,甜栗zi,46
2,44140887,-厄童-,舰长,321,甜栗zi,44
3,1951359859,猪栗盖被,舰长,264,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,346,甜栗zi,38
5,12051525,go栗莓拿塞,舰长,388,甜栗zi,35
6,448508702,DDR想过CET-6,舰长,361,甜栗zi,35
7,478530000,大那啥转转转,舰长,328,甜栗zi,34
8,97554931,桃枝___,舰长,104,甜栗zi,31
9,1752700457,蛙蛙不想,舰长,198,甜栗zi,30
10,3546849203981008,细嗦栗子卡的痰,舰长,280,甜栗zi,30
11,3690977564822180,亿盆猪猪,舰长,71,甜栗zi,28
12,500945816,非正式调查1,舰长,71,甜栗zi,27
13,452065807,pokoyeak,舰长,28,甜栗zi,24
