rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,提督,204,甜栗zi,46
2,44140887,-厄童-,舰长,300,甜栗zi,44
3,1951359859,猪栗盖被,舰长,243,甜栗zi,42
4,7559452,云琅染烟-粑粑大王,舰长,325,甜栗zi,38
5,448508702,DDR想过CET-6,舰长,340,甜栗zi,34
6,12051525,go栗莓拿塞,舰长,367,甜栗zi,34
7,478530000,大那啥转转转,舰长,307,甜栗zi,33
8,3546392698030143,冰冷小白白,舰长,102,甜栗zi,32
9,97554931,桃枝___,舰长,83,甜栗zi,30
10,273486679,御风-挂机中,舰长,53,甜栗zi,30
11,3546849203981008,细嗦栗子卡的痰,舰长,259,甜栗zi,29
12,314827433,虚掩的门牙,舰长,135,甜栗zi,28
13,18236089,翼凌try,舰长,51,甜栗zi,26
14,3690977564822180,亿盆猪猪,舰长,50,甜栗zi,25
15,500945816,非正式调查1,舰长,50,甜栗zi,25
16,452065807,首席睡觉官PP,舰长,7,甜栗zi,23
17,3546820795960171,饭田马丽娜-无语中,舰长,16,甜栗zi,22
