rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,221,甜栗zi,46
2,44140887,-厄童-,舰长,317,甜栗zi,44
3,1951359859,猪栗盖被,舰长,260,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,342,甜栗zi,38
5,12051525,go栗莓拿塞,舰长,384,甜栗zi,35
6,448508702,DDR想过CET-6,舰长,357,甜栗zi,35
7,478530000,大那啥转转转,舰长,324,甜栗zi,34
8,3546392698030143,冰冷小白白,舰长,119,甜栗zi,32
9,97554931,桃枝___,舰长,100,甜栗zi,31
10,1752700457,蛙蛙不想,舰长,194,甜栗zi,30
11,3546849203981008,细嗦栗子卡的痰,舰长,276,甜栗zi,30
12,3690977564822180,亿盆猪猪,舰长,67,甜栗zi,28
13,500945816,非正式调查1,舰长,67,甜栗zi,27
14,452065807,pokoyeak,舰长,24,甜栗zi,24
