rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Ybluezero-爱播生日快乐,总督,227,甜栗zi,48
2,44140887,-厄童-,舰长,323,甜栗zi,44
3,1951359859,猪栗盖被,舰长,266,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,348,甜栗zi,38
5,21763284,Gemini-KK,舰长,127,甜栗zi,37
6,12051525,go栗莓拿塞,舰长,390,甜栗zi,35
7,448508702,DDR想过CET-6,舰长,363,甜栗zi,35
8,478530000,栗子姐姐一夜暴富,舰长,330,甜栗zi,34
9,273486679,御风-已挂机,舰长,61,甜栗zi,32
10,97554931,栗子姐姐事事顺遂,舰长,106,甜栗zi,31
11,1752700457,蛙蛙不想,舰长,200,甜栗zi,31
12,3546849203981008,go栗拉粑通畅,舰长,282,甜栗zi,30
13,3690977564822180,亿盆猪猪,舰长,73,甜栗zi,28
14,500945816,非正式调查1,舰长,73,甜栗zi,27
15,452065807,pokoyeak,舰长,30,甜栗zi,24
