rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,49,甜栗zi,28
2,3546769308781297,道-_-_,舰长,120,甜栗zi,26
3,30560952,账号已注销,舰长,124,甜栗zi,26
4,448508702,DDR-栗所当然,舰长,89,甜栗zi,26
5,1752700457,wawa是蛙蛙,舰长,129,甜栗zi,26
6,7559452,云琅染烟,舰长,74,甜栗zi,25
7,12051525,狗莓呐腮,舰长,117,甜栗zi,24
8,478530000,大那啥转转转,舰长,56,甜栗zi,24
9,175002328,DDR-梨所当然,舰长,73,甜栗zi,24
10,3546892954766152,风吹云散回忆成书,舰长,37,甜栗zi,24
11,620489333,-陌小寒-独宠栗子,舰长,47,甜栗zi,23
12,3546849203981008,细嗦栗子卡的痰,舰长,14,甜栗zi,22
13,500945816,小雨落生花,舰长,22,甜栗zi,22
14,3546765624084973,CC努力做富婆,舰长,14,甜栗zi,22
15,2010466294,玖九丨妤云汐,舰长,5,甜栗zi,22
16,22364157,七酱lucky_,舰长,22,甜栗zi,22
17,63257298,PSGLGDPTSD,舰长,11,甜栗zi,21
18,92226433,老实憨厚陈十一,舰长,26,甜栗zi,21
19,488750234,B站的辣个男人,舰长,11,甜栗zi,21
20,1200120699,青山入梦---,舰长,27,甜栗zi,21
21,435504285,十浦寸,舰长,3,甜栗zi,21
