rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,298,甜栗zi,49
2,44140887,-厄童-,舰长,394,甜栗zi,44
3,1951359859,猪栗盖被,舰长,337,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,419,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,126,甜栗zi,35
6,12051525,go栗莓拿塞,舰长,461,甜栗zi,35
7,448508702,DDR想过CET-6,舰长,434,甜栗zi,35
8,478530000,大那啥转转转,舰长,401,甜栗zi,35
9,3690977564822180,亿盆猪猪,舰长,144,甜栗zi,34
10,97554931,桃枝___,舰长,177,甜栗zi,33
11,3546974085188366,御风-落花雨,舰长,179,甜栗zi,31
12,1752700457,蛙蛙有点小迷糊,舰长,271,甜栗zi,31
13,108150270,唐棠-Mona,舰长,143,甜栗zi,31
14,3546849203981008,go栗拉粑通畅,舰长,353,甜栗zi,31
15,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,71,甜栗zi,30
16,63257298,PSGLGDPTSD,舰长,241,甜栗zi,30
17,500761656,---人间惊鸿客---,舰长,49,甜栗zi,27
18,524236085,夏弥oL,舰长,57,甜栗zi,24
19,71135718,江源源lith,舰长,30,甜栗zi,21
