rank,uid,username,type,accompany,medal_name,medal_level
1,3546737740352336,zero-爱播的嫡长小狗,提督,102,甜栗zi,35
2,1316734497,Y-bluezero-爱播大笨蛋,舰长,274,甜栗zi,49
3,44140887,-厄童-,舰长,370,甜栗zi,44
4,1951359859,焦黄紫色小渣被子,舰长,313,甜栗zi,43
5,7559452,云琅染烟-粑粑大王,舰长,395,甜栗zi,38
6,12051525,go栗莓拿塞,舰长,437,甜栗zi,35
7,478530000,大那啥转转转,舰长,377,甜栗zi,35
8,448508702,DDR想过CET-6,舰长,410,甜栗zi,35
9,3690977564822180,亿盆猪猪,舰长,120,甜栗zi,34
10,97554931,桃枝___,舰长,153,甜栗zi,33
11,3546974085188366,御风-游客100919,舰长,155,甜栗zi,31
12,1752700457,蛙蛙有点小迷糊,舰长,247,甜栗zi,31
13,3546849203981008,go栗拉粑通畅,舰长,329,甜栗zi,30
14,63257298,PSGLGDPTSD,舰长,217,甜栗zi,30
15,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,47,甜栗zi,29
16,500761656,ARROW-_-_,舰长,25,甜栗zi,27
17,3632310639397590,西瓜椰椰七分甜,舰长,39,甜栗zi,24
18,524236085,夏弥oL,舰长,33,甜栗zi,24
19,71135718,江源源lith,舰长,6,甜栗zi,21
