rank,uid,username,type,accompany,medal_name,medal_level
1,3546737740352336,zero-爱播的嫡长小狗,提督,112,甜栗zi,35
2,1316734497,Y-bluezero-爱播大笨蛋,舰长,284,甜栗zi,49
3,44140887,-厄童-,舰长,380,甜栗zi,44
4,1951359859,猪栗盖被,舰长,323,甜栗zi,43
5,7559452,云琅染烟-粑粑大王,舰长,405,甜栗zi,38
6,12051525,go栗莓拿塞,舰长,447,甜栗zi,35
7,448508702,DDR想过CET-6,舰长,420,甜栗zi,35
8,478530000,大那啥转转转,舰长,387,甜栗zi,35
9,3690977564822180,亿盆猪猪,舰长,130,甜栗zi,34
10,97554931,桃枝___,舰长,163,甜栗zi,33
11,3546974085188366,御风-落花雨,舰长,165,甜栗zi,31
12,1752700457,蛙蛙有点小迷糊,舰长,257,甜栗zi,31
13,3546849203981008,go栗拉粑通畅,舰长,339,甜栗zi,31
14,108150270,身坚志残的唐棠,舰长,129,甜栗zi,30
15,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,57,甜栗zi,30
16,63257298,PSGLGDPTSD,舰长,227,甜栗zi,30
17,500761656,惊鸿-C,舰长,35,甜栗zi,27
18,3632310639397590,椰椰拿铁西瓜,舰长,49,甜栗zi,24
19,524236085,夏弥oL,舰长,43,甜栗zi,24
20,71135718,江源源lith,舰长,16,甜栗zi,21
