rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,258,甜栗zi,49
2,44140887,-厄童-,舰长,354,甜栗zi,44
3,1951359859,猪栗盖被,舰长,297,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,379,甜栗zi,38
5,12051525,go栗莓拿塞,舰长,421,甜栗zi,35
6,448508702,DDR想过CET-6,舰长,394,甜栗zi,35
7,478530000,大那啥转转转,舰长,361,甜栗zi,34
8,97554931,桃枝___,舰长,137,甜栗zi,32
9,1752700457,蛙蛙有点小迷糊,舰长,231,甜栗zi,31
10,3546849203981008,go栗拉粑通畅,舰长,313,甜栗zi,30
11,3690977564822180,亿盆猪猪,舰长,104,甜栗zi,30
12,63257298,PSGLGDPTSD,舰长,201,甜栗zi,29
13,3546737740352336,zero-爱播的嫡长小狗,舰长,88,甜栗zi,27
14,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,31,甜栗zi,26
15,524236085,夏弥oL,舰长,17,甜栗zi,22
16,500761656,---人间惊鸿客---,舰长,9,甜栗zi,21
