rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-封米锁票,舰长,355,甜栗zi,49
2,44140887,-厄童-,舰长,451,甜栗zi,44
3,1951359859,猪栗盖被,舰长,394,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,476,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,183,甜栗zi,35
6,12051525,go栗莓拿塞,舰长,518,甜栗zi,35
7,478530000,大那啥转转转,舰长,458,甜栗zi,35
8,448508702,ununddr,舰长,491,甜栗zi,35
9,97554931,桃枝___想和go栗干架版,舰长,234,甜栗zi,35
10,3690977564822180,亿盆猪猪,舰长,201,甜栗zi,34
11,3461574368955256,栗子的小奶龙-穷鬼版,舰长,128,甜栗zi,34
12,1752700457,蛙蛙有点小迷糊,舰长,328,甜栗zi,32
13,3546974085188366,御风-AI小助理,舰长,236,甜栗zi,32
14,13131692,打死不吃猫粮的汪,舰长,2,甜栗zi,29
15,13572023,木瀚,舰长,11,甜栗zi,25
16,616520070,野牛不牛,舰长,21,甜栗zi,24
17,354085049,PINK系イケメン,舰长,50,甜栗zi,23
18,1354494125,百香果山竹味汽水,舰长,13,甜栗zi,21
19,2028510271,Caritatem,舰长,10,甜栗zi,21
