rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-封米锁票,舰长,365,甜栗zi,49
2,44140887,-厄童-,舰长,461,甜栗zi,44
3,1951359859,猪栗盖被,舰长,404,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,486,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,193,甜栗zi,36
6,12051525,go栗莓拿塞,舰长,528,甜栗zi,35
7,478530000,大那啥转转转,舰长,468,甜栗zi,35
8,448508702,ununddr,舰长,501,甜栗zi,35
9,97554931,桃枝___穷鬼版,舰长,244,甜栗zi,35
10,3690977564822180,亿盆猪猪,舰长,211,甜栗zi,34
11,3461574368955256,栗子的小奶龙-穷鬼版,舰长,138,甜栗zi,34
12,13131692,打死不吃猫粮的汪,舰长,12,甜栗zi,33
13,1752700457,蛙蛙有点小迷糊,舰长,338,甜栗zi,33
14,3546974085188366,御风-AI小助理,舰长,246,甜栗zi,32
15,13572023,木瀚,舰长,21,甜栗zi,26
16,616520070,野牛不牛,舰长,31,甜栗zi,24
17,1354494125,百香果山竹味栗子,舰长,23,甜栗zi,23
18,354085049,PINK系イケメン,舰长,60,甜栗zi,23
19,247108378,太秀了_,舰长,6,甜栗zi,21
20,2028510271,Caritatem,舰长,20,甜栗zi,21
