rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,321,甜栗zi,49
2,44140887,-厄童-,舰长,417,甜栗zi,44
3,1951359859,猪栗盖被,舰长,360,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,442,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,149,甜栗zi,35
6,12051525,go栗莓拿塞,舰长,484,甜栗zi,35
7,478530000,大那啥转转转,舰长,424,甜栗zi,35
8,448508702,ununddr,舰长,457,甜栗zi,35
9,97554931,桃枝___,舰长,200,甜栗zi,34
10,3690977564822180,亿盆猪猪,舰长,167,甜栗zi,34
11,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,94,甜栗zi,32
12,3546974085188366,御风-落花雨,舰长,202,甜栗zi,32
13,1752700457,蛙蛙有点小迷糊,舰长,294,甜栗zi,32
14,3546849203981008,go栗拉粑通畅,舰长,376,甜栗zi,31
15,500761656,---人间惊鸿客---,舰长,72,甜栗zi,27
16,471493795,往路若尘,舰长,17,甜栗zi,24
17,3690987140418002,sky栖坞-琉璃梦,舰长,22,甜栗zi,24
18,354085049,PINK系イケメン,舰长,16,甜栗zi,21
