rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-有爱播别薅,提督,117,甜栗zi,44
2,44140887,-厄童-,提督,213,甜栗zi,43
3,1951359859,焦黄紫色小渣被子,提督,157,甜栗zi,41
4,7559452,云琅染烟-粑粑大王,提督,238,甜栗zi,38
5,3546392698030143,冰冷小白白,提督,69,甜栗zi,32
6,448508702,DDR-栗音织梦,舰长,253,甜栗zi,34
7,12051525,狗莓呐腮,舰长,280,甜栗zi,33
8,478530000,大那啥转转转,舰长,220,甜栗zi,32
9,488750234,B站的辣个男人,舰长,142,甜栗zi,31
10,3546974085188366,陆云书,舰长,77,甜栗zi,30
11,3546859666672207,被子焦黄爱看擦擦,舰长,79,甜栗zi,30
12,397576075,秋宝-心软的神,舰长,51,甜栗zi,29
13,36625512,千面咸鱼,舰长,31,甜栗zi,29
14,2010466294,玖九丨黎雾汐m,舰长,138,甜栗zi,28
15,3546849203981008,细嗦栗子卡的痰,舰长,178,甜栗zi,27
16,108150270,糖唐樘棠堂,舰长,101,甜栗zi,26
17,1497874693,账号已注销,舰长,55,甜栗zi,26
18,314827433,虚掩的门牙,舰长,48,甜栗zi,25
19,3546737740352336,zero-单推go栗子,舰长,47,甜栗zi,25
20,103066396,冰冷的五点,舰长,27,甜栗zi,25
21,670677253,小冬枝-加油猫冠,舰长,47,甜栗zi,24
22,629709144,黄璟瑜,舰长,42,甜栗zi,24
23,1884177625,天中霖尘,舰长,58,甜栗zi,23
24,384255058,乍见秋风起,舰长,34,甜栗zi,23
25,3632310639397590,只此青柚_单推小D枝,舰长,31,甜栗zi,21
26,401106377,薛定谔的小颖,舰长,3,甜栗zi,21
27,3690973984983897,阿胖哦的相好,舰长,3,甜栗zi,21
28,3690973984983339,小明格丶,舰长,3,甜栗zi,21
29,3690973984983168,是小阿胖呢,舰长,3,甜栗zi,21
30,3632319504058772,不想写作业的小橙子,舰长,3,甜栗zi,21
31,3546562043054921,清清闲闲哆欢乐,舰长,3,甜栗zi,21
