rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-9月必戒氪,提督,382,甜栗zi,50
2,12768058,小破站-哈栗子气,提督,15,甜栗zi,36
3,1191459198,壹声壹栗,提督,12,甜栗zi,30
4,44140887,-厄童-,舰长,478,甜栗zi,44
5,1951359859,猪栗盖被,舰长,421,甜栗zi,43
6,7559452,云琅染烟-粑粑大王,舰长,503,甜栗zi,38
7,266729102,早晚把破盒子炸了,舰长,18,甜栗zi,36
8,13131692,打死不吃猫粮的汪,舰长,29,甜栗zi,36
9,3546737740352336,zero-爱播的嫡长小狗,舰长,210,甜栗zi,36
10,12051525,go栗莓拿塞,舰长,545,甜栗zi,35
11,478530000,大那啥转转转,舰长,485,甜栗zi,35
12,97554931,分b不掏,舰长,261,甜栗zi,35
13,448508702,ununddr,舰长,518,甜栗zi,35
14,3690977564822180,举个-栗子牙,舰长,228,甜栗zi,34
15,3461574368955256,栗子的小奶龙-穷鬼版,舰长,155,甜栗zi,34
16,1752700457,蛙蛙有点小迷糊,舰长,355,甜栗zi,34
17,3546974085188366,御风-逆飞的流星,舰长,263,甜栗zi,33
18,616520070,栗子大王的小野牛,舰长,48,甜栗zi,28
19,13572023,木瀚,舰长,38,甜栗zi,26
20,1354494125,百香果味栗子,舰长,40,甜栗zi,25
21,354085049,PINK系イケメン,舰长,77,甜栗zi,25
22,388620824,七斤半的梦里是灰丝,舰长,5,甜栗zi,23
23,247108378,太秀了_,舰长,23,甜栗zi,21
